,epic_name,tm_name,epic_candname,pl_name,ra,ra_err,ra_str,dec,dec_err,dec_str,k2c_disp,k2c_refdisp,k2c_reflink,k2c_note,k2c_recentflag,k2_campaign_str,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_rad,st_raderr1,st_raderr2,st_radlim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_kep,st_keperr,st_keplim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_us,st_userr,st_uslim,st_gs,st_gserr,st_gslim,st_rs,st_rserr,st_rslim,st_is,st_iserr,st_islim,st_zs,st_zserr,st_zslim,st_j2,st_j2err,st_j2lim,st_h2,st_h2err,st_h2lim,st_k2,st_k2err,st_k2lim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_bmvj,st_bmvjerr,st_bmvjlim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,pl_fppprob,pl_fppproblim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranflag
0,EPIC 205999468,2MASS J22213759-1450221,EPIC 205999468.01,,335.40661600000004,0.0,22h21m37.59s,-14.839479999999998,0.0,-14d50m22.1s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4980.0,,,0.0,,,,,,,,,,0.76,,,0.0,,,,,12.932,,0,14.062000000000001,0.02,0.0,13.190999999999999,0.032,0.0,,,,13.583,0.032,0.0,12.91,0.040999999999999995,0.0,12.652999999999999,0.062,0.0,,,,11.591,0.026000000000000002,0.0,11.092,0.023,0.0,11.011,0.024,0.0,10.96,0.022000000000000002,0.0,11.034,0.022000000000000002,0.0,10.970999999999998,0.14400000000000002,0.0,8.785,,-1.0,0.871,0.038,0.0,0.499,0.035,0.0,0.081,0.033,0.0,0.58,0.035,0.0,,,12.263354,,,0,2456984.094,,,0.0,0.0681,,,0.0,0.06083330000000001,,,0.0,,,,,0.73,,,0.0,,,,,0.026,,,0.0,0.193,,,0.0,2.16,,,0.0,,,,,1.0
1,EPIC 206007892,2MASS J22281062-1435577,EPIC 206007892.01,K2-169 b,337.044281,0.0,22h28m10.63s,-14.599381,0.0,-14d35m57.8s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5347.0,,,0.0,,,,,,,,,,0.83,,,0.0,,,,,12.023,,0,12.966,0.01,0.0,12.229000000000001,0.06,0.0,,,,12.517000000000001,0.02,0.0,11.962,0.04,0.0,11.811,0.04,0.0,,,,10.790999999999999,0.021,0.0,10.458,0.024,0.0,10.370999999999999,0.021,0.0,10.343,0.023,0.0,10.402999999999999,0.02,0.0,10.253,0.064,0.0,9.068999999999999,,-1.0,0.737,0.061,0.0,0.33299999999999996,0.032,0.0,0.087,0.032,0.0,0.42,0.03,0.0,,,6.37961,,,0,2456982.017,,,0.0,0.0239,,,0.0,0.11583330000000001,,,0.0,,,,,0.1,,,0.0,,,,,0.013880000000000002,,,0.0,0.126,,,0.0,1.41,,,0.0,,,,,1.0
2,EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.01,K2-170 c,335.450714,0.0,22h21m48.17s,-14.593285999999999,0.0,-14d35m35.8s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5749.0,,,0.0,,,,,,,,,,0.98,,,0.0,,,,,12.505999999999998,,0,13.274000000000001,0.042,0.0,12.633,0.031,0.0,,,,12.91,0.031,0.0,12.48,0.040999999999999995,0.0,12.333,0.061,0.0,,,,11.445,0.023,0.0,11.144,0.021,0.0,11.075,0.021,0.0,11.050999999999998,0.023,0.0,11.091,0.021,0.0,10.870999999999999,0.113,0.0,8.752,,-1.0,0.6409999999999999,0.052000000000000005,0.0,0.301,0.031,0.0,0.069,0.03,0.0,0.37,0.031,0.0,,,12.400731,,,0,2456985.665,,,0.0,0.032,,,0.0,0.16875,,,0.0,,,,,0.21,,,0.0,,,,,0.01629,,,0.0,0.171,,,0.0,1.92,,,0.0,,,,,1.0
3,EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.02,K2-170 b,335.450714,0.0,22h21m48.17s,-14.593285999999999,0.0,-14d35m35.8s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5749.0,,,0.0,,,,,,,,,,0.98,,,0.0,,,,,12.505999999999998,,0,13.274000000000001,0.042,0.0,12.633,0.031,0.0,,,,12.91,0.031,0.0,12.48,0.040999999999999995,0.0,12.333,0.061,0.0,,,,11.445,0.023,0.0,11.144,0.021,0.0,11.075,0.021,0.0,11.050999999999998,0.023,0.0,11.091,0.021,0.0,10.870999999999999,0.113,0.0,8.752,,-1.0,0.6409999999999999,0.052000000000000005,0.0,0.301,0.031,0.0,0.069,0.03,0.0,0.37,0.031,0.0,,,7.5767206,,,0,2456986.184,,,0.0,0.0196,,,0.0,0.15041670000000001,,,0.0,,,,,0.36,,,0.0,,,,,0.01287,,,0.0,0.134,,,0.0,1.5,,,0.0,,,,,1.0
4,EPIC 206011496,2MASS J22480755-1429407,EPIC 206011496.01,K2-265 b,342.031525,0.0,22h48m07.57s,-14.494689000000001,0.0,-14d29m40.9s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5261.0,,,0.0,,,,,,,,,,0.81,,,0.0,,,,,10.915999999999999,,0,11.972000000000001,0.153,0.0,11.187000000000001,0.10099999999999999,0.0,,,,11.389000000000001,0.01,0.0,10.9,0.03,0.0,10.714,0.09,0.0,,,,9.726,0.026000000000000002,0.0,9.312000000000001,0.022000000000000002,0.0,9.259,0.027000000000000003,0.0,9.177999999999999,0.022000000000000002,0.0,9.213,0.02,0.0,9.162,0.04,0.0,8.502,,-1.0,0.785,0.183,0.0,0.414,0.034,0.0,0.053,0.035,0.0,0.467,0.037000000000000005,0.0,,,2.3690438,,,0,2456981.645,,,0.0,0.0338,,,0.0,0.09583330000000001,,,0.0,,,,,0.28,,,0.0,,,,,0.01662,,,0.0,0.145,,,0.0,1.63,,,0.0,,,,,1.0
5,EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.01,K2-21 b,340.30368,0.0,22h41m12.88s,-14.488987,0.0,-14d29m20.4s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4024.0,,,0.0,,,,,,,,,,0.6,,,0.0,,,,,12.315999999999999,,0,14.126,0.03,0.0,12.845999999999998,0.03,0.0,,,,13.564,0.01,0.0,12.338,0.01,0.0,11.780999999999999,0.02,0.0,,,,10.251,0.021,0.0,9.633,0.021,0.0,9.417,0.02,0.0,9.407,0.023,0.0,9.379,0.02,0.0,9.399,0.042,0.0,9.031,0.528,0.0,1.28,0.042,0.0,0.618,0.03,0.0,0.21600000000000003,0.028999999999999998,0.0,0.8340000000000001,0.028999999999999998,0.0,,,9.3251498,,,0,2456980.096,,,0.0,0.0821,,,0.0,0.1045833,,,0.0,,,,,0.54,,,0.0,,,,,0.02673,,,0.0,0.16899999999999998,,,0.0,1.89,,,0.0,,,,,1.0
6,EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.02,K2-21 c,340.30368,0.0,22h41m12.88s,-14.488987,0.0,-14d29m20.4s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4024.0,,,0.0,,,,,,,,,,0.6,,,0.0,,,,,12.315999999999999,,0,14.126,0.03,0.0,12.845999999999998,0.03,0.0,,,,13.564,0.01,0.0,12.338,0.01,0.0,11.780999999999999,0.02,0.0,,,,10.251,0.021,0.0,9.633,0.021,0.0,9.417,0.02,0.0,9.407,0.023,0.0,9.379,0.02,0.0,9.399,0.042,0.0,9.031,0.528,0.0,1.28,0.042,0.0,0.618,0.03,0.0,0.21600000000000003,0.028999999999999998,0.0,0.8340000000000001,0.028999999999999998,0.0,,,15.504102,,,0,2456988.466,,,0.0,0.12,,,0.0,0.09458330000000001,,,0.0,,,,,0.0,,,0.0,,,,,0.030989999999999997,,,0.0,0.204,,,0.0,2.29,,,0.0,,,,,1.0
7,EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.01,,331.277222,0.0,22h05m06.53s,-14.121665,0.0,-14d07m18.0s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5648.0,,,0.0,,,,,,,,,,0.94,,,0.0,,,,,13.046,,0,13.770999999999999,0.04,0.0,13.116,0.03,0.0,,,,13.392000000000001,0.04,0.0,12.937000000000001,0.05,0.0,12.897,0.31,0.0,,,,11.845999999999998,0.022000000000000002,0.0,11.533,0.023,0.0,11.487,0.023,0.0,11.435,0.023,0.0,11.495,0.022000000000000002,0.0,11.597000000000001,0.24100000000000002,0.0,8.202,,-1.0,0.655,0.05,0.0,0.313,0.032,0.0,0.046,0.033,0.0,0.359,0.032,0.0,,,14.641541,,,0,2456985.482,,,0.0,0.0825,,,0.0,0.1945833,,,0.0,,,,,0.94,,,0.0,,,,,0.03369,,,0.0,0.262,,,0.0,2.94,,,0.0,,,,,1.0
8,EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.02,,331.277222,0.0,22h05m06.53s,-14.121665,0.0,-14d07m18.0s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,5648.0,,,0.0,,,,,,,,,,0.94,,,0.0,,,,,13.046,,0,13.770999999999999,0.04,0.0,13.116,0.03,0.0,,,,13.392000000000001,0.04,0.0,12.937000000000001,0.05,0.0,12.897,0.31,0.0,,,,11.845999999999998,0.022000000000000002,0.0,11.533,0.023,0.0,11.487,0.023,0.0,11.435,0.023,0.0,11.495,0.022000000000000002,0.0,11.597000000000001,0.24100000000000002,0.0,8.202,,-1.0,0.655,0.05,0.0,0.313,0.032,0.0,0.046,0.033,0.0,0.359,0.032,0.0,,,0.9116567,,,0,2456980.07,,,0.0,0.0174,,,0.0,0.07041669999999998,,,0.0,,,,,0.96,,,0.0,,,,,0.01593,,,0.0,0.12,,,0.0,1.35,,,0.0,,,,,1.0
9,EPIC 206026136,2MASS J22504600-1404116,EPIC 206026136.01,K2-57 b,342.691711,0.0,22h50m46.01s,-14.069885999999999,0.0,-14d04m11.6s,CONFIRMED,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4388.0,,,0.0,,,,,,,,,,0.68,,,0.0,,,,,14.100999999999999,,0,15.679,0.04,0.0,14.501,0.05,0.0,,,,15.145,0.04,0.0,14.037,0.01,0.0,13.654000000000002,0.01,0.0,,,,12.35,0.024,0.0,11.761,0.021,0.0,11.645,0.023,0.0,11.585999999999999,0.023,0.0,11.639000000000001,0.021,0.0,11.505999999999998,0.217,0.0,8.579,,-1.0,1.178,0.064,0.0,0.589,0.032,0.0,0.11599999999999999,0.031,0.0,0.705,0.033,0.0,,,9.007156,,,0,2456984.335,,,0.0,0.118,,,0.0,0.1058333,,,0.0,,,,,0.31,,,0.0,,,,,0.030539999999999998,,,0.0,0.226,,,0.0,2.53,,,0.0,,,,,1.0
