# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 13 10:46:08 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
1,EPIC 201110617,EPIC 201110617.01,K2-156 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,0.81314900,2457583.140930,4.420602,0.01704,1.144,0.62,12.947,10.391
2,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30236800,2457583.162060,12.619867,0.01692,1.313,0.71,11.363,9.220
3,EPIC 201126503,EPIC 201126503.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h43m45.22s,175.938416,-05d52m22.8s,-5.873002,1.19474880,2456810.382000,,0.06005,4.190,0.57,17.275,14.230
4,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,2457585.551310,17.277258,0.11511,9.913,0.79,11.558,9.430
5,EPIC 201130233,EPIC 201130233.01,K2-157 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h15m00.32s,183.751343,-05d46m55.2s,-5.781991,0.36525700,2457582.823890,1.876041,0.01105,1.055,0.88,12.604,10.980
6,EPIC 201132684,EPIC 201132684.01,K2-158 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,10.06210600,2457590.481730,17.602997,0.02707,2.635,0.89,11.678,9.974
7,EPIC 201155177,EPIC 201155177.01,K2-42 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68796000,2456814.676300,,0.03040,2.150,0.64,14.632,12.284
8,EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68743520,2456814.676000,,0.03239,2.790,0.69,14.632,12.284
9,EPIC 201166680,EPIC 201166680.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,18.10549000,2457598.193300,26.263676,0.01572,2.100,1.22,10.897,9.591
10,EPIC 201176672,EPIC 201176672.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,11h16m36.05s,169.150208,-04d39m23.6s,-4.656546,79.99990000,2456877.804600,,0.18000,10.200,0.51,13.980,11.604
