Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
1,K2-1 b,60017806,WASP-28 b,23 34 27.876,-01 34 48.23,Transit,1,1.213,0,0.045,0,0.000,0,88.610,0,0.907,0,0.676,0,3.409,0,1.020,0.000,1.090,0,410.000,0,12.030,0,V (Johnson),6150,0,0,2015-03-05,,11.500,E
2,K2-2 b,60021410,HIP 116454 b,23 35 49.285,+00 26 43.86,Transit,1,0.226,0,0.091,,0.205,0,88.430,0,0.037,0,4.170,0,9.120,0,0.780,0.000,0.720,0,55.200,0,10.190,0,V (Johnson),5089,0,0,2014-12-19,9.861,9.507,E
3,K2-3 b,201367065,K2-3 b,11 29 20.387,-01 27 17.23,Transit,3,0.194,0,0.077,0,,,88.800,0,,,,,10.054,0,0.600,0.000,0.560,0,,,12.170,0,V (Johnson),3896,0,0,2016-07-07,,11.574,1
4,K2-3 c,201367065,K2-3 c,11 29 20.387,-01 27 17.23,Transit,3,0.165,0,0.140,0,,,89.120,0,,,,,24.644,0,0.600,0.000,0.560,0,,,12.170,0,V (Johnson),3896,0,1,2016-07-07,,11.574,1
5,K2-3 d,201367065,K2-3 d,11 29 20.387,-01 27 17.23,Transit,3,0.135,0,0.208,0,,,89.380,0,,,,,44.560,0,0.600,0.000,0.560,0,,,12.170,0,V (Johnson),3896,0,3,2016-07-07,,11.574,1
6,K2-4 b,201208431,K2-4 b,11 38 58.953,-03 54 20.11,Transit,1,0.187,0,0.078,0,0.080,0,89.540,0,,0,,0,10.003,0,0.640,0.000,0.570,0,,,14.907,0,V (Johnson),4014.73,0,0,2017-10-26,,14.409,1
7,K2-5 b,201338508,K2-5 b,11 17 12.839,-01 52 40.71,Transit,2,0.170,0,0.053,0,,,87.350,0,,,,,5.736,0,0.610,0.000,0.570,0,,,14.910,0,V (Johnson),3930,0,0,2016-07-07,,14.364,1
8,K2-5 c,201338508,K2-5 c,11 17 12.839,-01 52 40.71,Transit,2,0.202,0,0.082,0,,,86.950,0,,,,,10.932,0,0.610,0.000,0.570,0,,,14.910,0,V (Johnson),3930,0,0,2016-07-07,,14.364,1
9,K2-6 b,201384232,K2-6 b,11 52 46.143,-01 11 54.52,Transit,1,0.223,0,0.190,0,,,,,,,,,30.942,0,0.970,0.000,0.960,0,,,12.654,0,V (Johnson),5850,0,0,2015-07-16,,12.510,1
10,K2-7 b,201393098,K2-7 b,11 08 22.504,-01 03 56.72,Transit,1,0.238,0,0.181,0,,,,,,,,,28.680,0,0.970,0.000,0.960,0,,,13.213,0,V (Johnson),5772,0,0,2015-07-16,,13.054,1
