,pl_hostname,pl_letter,pl_disc,pl_discmethod,ra,dec,pl_trandep,pl_tranflag,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_k2flag,pl_kepflag,pl_facility,st_rad,st_teff,st_optmag,st_j,st_h
0,Kepler-1309,b,2016,Transit,298.735235,40.764155,,1,,0.21100000000000002,,,,,28.8432647,0,1,Kepler,0.8,5235.0,15.652000000000001,14.140999999999998,13.674000000000001
1,Kepler-1310,b,2016,Transit,283.920035,40.740123,,1,,0.128,,,,,0.67933627,0,1,Kepler,0.88,5549.0,14.159,12.912,12.515999999999998
2,Kepler-1311,b,2016,Transit,289.651263,43.824417,,1,,0.111,,,,,11.1726994,0,1,Kepler,1.4,5748.0,13.349,12.169,11.859000000000002
3,Kepler-1311,c,2016,Transit,289.651263,43.824417,,1,,0.109,,,,,2.53573424,0,1,Kepler,1.4,5748.0,13.349,12.169,11.859000000000002
4,Kepler-1312,b,2016,Transit,292.971241,41.035764,,1,,0.187,,,,,5.44832529,0,1,Kepler,0.92,5719.0,12.43,11.323,10.947000000000001
5,Kepler-1313,b,2016,Transit,292.388546,42.233261,,1,,0.157,,,,,3.83309118,0,1,Kepler,0.85,5453.0,11.799000000000001,10.522,10.13
6,Kepler-1314,b,2016,Transit,294.237938,45.197322,,1,,0.456,,,,,5.42474928,0,1,Kepler,0.59,4188.0,16.406,14.100999999999999,13.51
7,Kepler-398,d,2016,Transit,291.468662,40.343853,,1,,0.079,,,,,6.83437001,0,1,Kepler,0.61,4493.0,13.255999999999998,11.514000000000001,10.932
8,Kepler-1315,b,2016,Transit,295.821448,46.053028999999995,,1,,0.12300000000000001,,,,,0.84338011,0,1,Kepler,0.75,4861.0,14.975,13.33,12.808
9,Kepler-1316,b,2016,Transit,298.835871,40.293136,,1,,0.316,,,,,87.9732136,0,1,Kepler,1.12,5884.0,14.0,12.807,12.488
10,Kepler-1317,b,2016,Transit,291.611881,42.115971,,1,,0.139,,,,,0.56887443,0,1,Kepler,0.79,5144.0,15.23,13.822000000000001,13.315999999999999
11,Kepler-1318,b,2016,Transit,290.376313,41.150741,,1,,0.27699999999999997,,,,,213.257663,0,1,Kepler,0.7,4598.0,15.165,13.514000000000001,12.875
12,Kepler-1319,b,2016,Transit,290.956068,49.366306,,1,,0.12,,,,,2.88676265,0,1,Kepler,0.54,3655.0,14.717,11.57,10.927
13,Kepler-1320,b,2016,Transit,288.43359100000004,40.380875,,1,,0.152,,,,,0.86838653,0,1,Kepler,0.74,4817.0,15.898,14.231,13.713
14,Kepler-401,d,2016,Transit,290.08274900000004,50.863483,,1,,0.203,,,,,184.256405,0,1,Kepler,1.33,6117.0,13.312000000000001,12.277000000000001,12.065
15,Kepler-1321,b,2016,Transit,294.528593,46.640962,,1,,0.439,,,,,11.12830484,0,1,Kepler,0.53,4094.0,16.835,14.832,14.224
16,Kepler-1321,c,2016,Transit,294.528593,46.640962,,1,,0.214,,,,,2.22649109,0,1,Kepler,0.53,4094.0,16.835,14.832,14.224
17,Kepler-1322,b,2016,Transit,293.204521,45.435402,,1,,0.14400000000000002,,,,,0.96286738,0,1,Kepler,0.87,5488.0,15.81,14.572000000000001,14.167
18,Kepler-1323,b,2016,Transit,292.872284,46.098884999999996,,1,,0.136,,,,,0.92990668,0,1,Kepler,1.4,6169.0,12.41,11.387,11.147
19,Kepler-1324,b,2016,Transit,291.18497,40.311214,,1,,0.135,,,,,4.11584468,0,1,Kepler,0.73,4776.0,15.140999999999998,13.472000000000001,12.944
20,Kepler-1325,b,2016,Transit,285.017227,42.085384000000005,,1,,0.255,,,,,33.8786838,0,1,Kepler,0.91,5550.0,15.16,13.911,13.54
21,Kepler-1326,b,2016,Transit,296.222144,39.268958000000005,,1,,0.373,,,,,42.3514267,0,1,Kepler,1.74,6725.0,12.852,11.952,11.732999999999999
22,Kepler-1327,b,2016,Transit,289.064869,50.460976,,1,,0.161,,,,,14.88801098,0,1,Kepler,1.03,5885.0,13.914000000000001,12.788,12.468
23,Kepler-1328,b,2016,Transit,284.675388,44.417770000000004,,1,,0.087,,,,,4.52158888,0,1,Kepler,0.99,5780.0,13.835999999999999,12.695,12.347999999999999
24,Kepler-403,d,2016,Transit,289.92146099999997,46.74456,,1,,0.127,,,,,13.61159129,0,1,Kepler,1.33,6090.0,12.805,11.83,11.575
25,Kepler-1329,b,2016,Transit,281.647742,48.271046000000005,,1,,0.19399999999999998,,,,,9.33646594,0,1,Kepler,0.69,4500.0,15.911,14.168,13.499
26,Kepler-1330,b,2016,Transit,290.57673700000004,39.956893,,1,,0.147,,,,,10.10769068,0,1,Kepler,0.94,5608.0,15.017000000000001,13.757,13.423
27,Kepler-1331,b,2016,Transit,297.07378900000003,41.22448,,1,,0.094,,,,,0.78916165,0,1,Kepler,0.69,4508.0,15.030999999999999,13.084000000000001,12.419
28,Kepler-123,b,2014,Transit,296.998621,42.781956,,1,0.135,0.262,,,,,17.232366,0,1,Kepler,1.26,6089.0,14.061,12.982000000000001,12.725
29,Kepler-123,c,2014,Transit,296.998621,42.781956,,1,0.181,0.132,,,,,26.695074,0,1,Kepler,1.26,6089.0,14.061,12.982000000000001,12.725
30,Kepler-124,b,2014,Transit,286.75279700000004,49.064910999999995,,1,0.039,0.065,,,,,3.410493,0,1,Kepler,0.64,4984.0,14.139000000000001,12.78,12.314
31,Kepler-124,c,2014,Transit,286.75279700000004,49.064910999999995,,1,0.1,0.156,,,,,13.821375,0,1,Kepler,0.64,4984.0,14.139000000000001,12.78,12.314
32,Kepler-124,d,2014,Transit,286.75279700000004,49.064910999999995,,1,0.17,0.099,,,,,30.950851,0,1,Kepler,0.64,4984.0,14.139000000000001,12.78,12.314
33,Kepler-125,b,2014,Transit,298.258123,47.604946000000005,,1,0.041,0.21100000000000002,,,,,4.164389,0,1,Kepler,0.51,3810.0,14.752,12.484000000000002,11.869000000000002
34,Kepler-125,c,2014,Transit,298.258123,47.604946000000005,,1,0.051,0.066,,,,,5.774464,0,1,Kepler,0.51,3810.0,14.752,12.484000000000002,11.869000000000002
35,Kepler-126,b,2014,Transit,289.34729100000004,44.208553,,1,0.099,0.136,,,,,10.495711,0,1,Kepler,1.36,6239.0,10.5,9.616,9.407
36,Kepler-126,c,2014,Transit,289.34729100000004,44.208553,,1,0.162,0.141,,,,,21.869741,0,1,Kepler,1.36,6239.0,10.5,9.616,9.407
37,Kepler-126,d,2014,Transit,289.34729100000004,44.208553,,1,0.448,0.223,,,,,100.283134,0,1,Kepler,1.36,6239.0,10.5,9.616,9.407
38,Kepler-127,b,2014,Transit,285.18998500000004,46.027962,,1,0.125,0.125,,,,,14.435889,0,1,Kepler,1.36,6106.0,11.485,10.536,10.3
39,Kepler-127,c,2014,Transit,285.18998500000004,46.027962,,1,0.2,0.237,,,,,29.393195,0,1,Kepler,1.36,6106.0,11.485,10.536,10.3
40,Kepler-127,d,2014,Transit,285.18998500000004,46.027962,,1,0.28,0.23600000000000002,,,,,48.630408,0,1,Kepler,1.36,6106.0,11.485,10.536,10.3
41,Kepler-128,b,2013,Transit,282.492224,43.980213,,1,,0.10099999999999999,0.097,0.019,-0.019,,15.09,0,1,Kepler,1.55,6090.0,11.39,10.373,10.094
42,Kepler-128,c,2013,Transit,282.492224,43.980213,,1,,0.10099999999999999,0.105,0.01,-0.01,,22.804,0,1,Kepler,1.55,6090.0,11.39,10.373,10.094
43,Kepler-129,b,2014,Transit,285.311284,47.848595,,1,0.131,0.21100000000000002,,,,,15.79186,0,1,Kepler,1.64,5770.0,11.696,10.6,10.325
44,Kepler-129,c,2014,Transit,285.311284,47.848595,,1,0.393,0.22699999999999998,,,,,82.20017,0,1,Kepler,1.64,5770.0,11.696,10.6,10.325
45,Kepler-130,b,2014,Transit,288.450665,40.245305,,1,0.079,0.091,,,,,8.457458,0,1,Kepler,1.13,5884.0,11.529000000000002,10.81,10.529000000000002
